2023-06-15 21:08:40.355 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-06-15 21:08:40.362 INFO  [main] c.j.s.SwiftwheelsApplication - Starting SwiftwheelsApplication using Java 11.0.19 on kubuntu with PID 54778 (/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes started by jimmy in /home/jimmy/projects/ownprojects/swiftwheels/backend)
2023-06-15 21:08:40.364 INFO  [main] c.j.s.SwiftwheelsApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-15 21:08:40.787 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-15 21:08:40.818 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 3 JPA repository interfaces.
2023-06-15 21:08:41.168 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-06-15 21:08:41.174 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-06-15 21:08:41.174 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-15 21:08:41.174 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-15 21:08:41.239 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-15 21:08:41.239 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 842 ms
2023-06-15 21:08:41.329 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-15 21:08:41.353 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-06-15 21:08:41.452 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-06-15 21:08:41.500 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-15 21:08:41.709 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-15 21:08:41.719 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-06-15 21:08:42.170 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-15 21:08:42.177 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-06-15 21:08:42.751 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-15 21:08:42.875 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@8ab231, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b3a8bea, org.springframework.security.web.context.SecurityContextPersistenceFilter@4c3c31a5, org.springframework.security.web.header.HeaderWriterFilter@7272914b, org.springframework.web.filter.CorsFilter@6ba0dcba, org.springframework.security.web.authentication.logout.LogoutFilter@69dc7b24, com.jimmy.swiftwheels.config.JwtAuthenticationFilter@1331d6fd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39fb5ddf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@49b180c8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6d7772d3, org.springframework.security.web.session.SessionManagementFilter@2b06f498, org.springframework.security.web.access.ExceptionTranslationFilter@642f8b7f, org.springframework.security.web.access.intercept.AuthorizationFilter@37b1218]
2023-06-15 21:08:43.012 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-06-15 21:08:43.021 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-06-15 21:08:43.030 INFO  [main] c.j.s.SwiftwheelsApplication - Started SwiftwheelsApplication in 2.929 seconds (JVM running for 3.282)
2023-06-15 21:09:43.298 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-15 21:09:43.298 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-15 21:09:43.300 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-06-15 21:09:43.393 INFO  [http-nio-8080-exec-2] c.j.s.c.AuthenticationController - Request to 'authenticate' by user 'user'
2023-06-15 21:10:53.530 INFO  [http-nio-8080-exec-4] c.j.s.c.AuthenticationController - Request to 'register' for user 'user'
2023-06-15 21:10:53.669 INFO  [http-nio-8080-exec-4] c.j.s.service.AuthenticationService - Registration successful
2023-06-15 21:10:53.778 INFO  [http-nio-8080-exec-6] c.j.s.c.AuthenticationController - Authorization successful: User 'user'
2023-06-15 21:10:53.945 INFO  [http-nio-8080-exec-7] c.j.s.controller.VehicleController - Request to 'getDatabase'
2023-06-15 21:10:53.945 INFO  [http-nio-8080-exec-8] c.j.s.controller.VehicleController - Request to 'availableVehicles'
2023-06-15 21:10:53.972 INFO  [http-nio-8080-exec-10] c.j.s.controller.UserController - Request to 'reservedVehicle' by user 'user'
2023-06-15 21:12:36.495 INFO  [http-nio-8080-exec-5] c.j.s.c.AuthenticationController - Request to 'logout' by user 'user'
2023-06-15 21:12:36.510 INFO  [http-nio-8080-exec-5] c.j.s.service.AuthenticationService - All valid tokens for user 'user' revoked
2023-06-15 21:12:36.510 INFO  [http-nio-8080-exec-5] c.j.s.service.AuthenticationService - Authentication successful
2023-06-15 21:13:38.618 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-15 21:13:38.620 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-15 21:13:38.628 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-15 21:13:41.588 INFO  [main] c.j.s.SwiftwheelsApplication - Starting SwiftwheelsApplication using Java 11.0.19 on kubuntu with PID 55152 (/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes started by jimmy in /home/jimmy/projects/ownprojects/swiftwheels/backend)
2023-06-15 21:13:41.590 INFO  [main] c.j.s.SwiftwheelsApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-15 21:13:41.596 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-06-15 21:13:42.010 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-15 21:13:42.046 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31 ms. Found 3 JPA repository interfaces.
2023-06-15 21:13:42.400 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-06-15 21:13:42.407 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-06-15 21:13:42.407 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-15 21:13:42.407 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-15 21:13:42.473 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-15 21:13:42.473 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 849 ms
2023-06-15 21:13:42.563 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-15 21:13:42.587 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-06-15 21:13:42.689 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-06-15 21:13:42.738 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-15 21:13:42.920 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-15 21:13:42.930 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-06-15 21:13:43.363 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
